DAM_ID,DAM_NAME,STATE,LONG,LAT,CAP_MCM,MAIN_USE,res_cat,mean_within_year_fraction,mean_over_year_fraction,sd_max_v_min
100,Hills Creek,Oregon,-122.421703,43.708548,439.1,Flood control,Within-Year,0.962,0.038,1.901
107,William L. Jess,Oregon,-122.672183,42.672829,616.7,Flood control,Within-Year,0.983,0.017,0.396
111,Howard Prairie,Oregon,-122.378342,42.217605,74.7,Irrigation,Over-Year,0.787,0.213,0.977
113,Hyatt Dam,Oregon,-122.467427,42.173159,20,Irrigation,Over-Year,0.842,0.158,0.881
114,Emigrant,Oregon,-122.606267,42.159508,48.1,Irrigation,Within-Year,0.961,0.039,0.601
133,Whiskeytown,California,-122.540564,40.599432,263.4,Hydroelectricity,Within-Year,0.949,0.051,0.393
182,Folsom,California,-121.156241,38.710426,1102.7,Irrigation,Within-Year,0.888,0.112,0.922
185,Monticello,California,-122.106948,38.513668,1963.6,Irrigation,Over-Year,0.699,0.301,0.937
204,Tulloch,California,-120.602083,37.877114,84.4,Hydroelectricity,Within-Year,0.979,0.021,0.052
292,Lake Sherburne,Montana,-113.523663,48.828116,79.9,Irrigation,Within-Year,0.927,0.073,1.517
293,Fresno,Montana,-109.949037,48.599168,126.9,Irrigation,Over-Year,0.853,0.147,0.974
297,Libby,Montana,-115.313542,48.411432,7434.2,Hydroelectricity,Within-Year,0.921,0.079,0.475
299,Hungry Horse,Montana,-114.010417,48.339662,3678.3,Irrigation,Within-Year,0.942,0.058,0.589
300,Tiber Dike,Montana,-111.102097,48.322931,1757.1,Irrigation,Over-Year,0.843,0.157,1.837
307,Fort Peck Dam,Montana,-106.414583,48.001098,23560,Flood control,Over-Year,0.701,0.299,1.159
319,Gibson,Montana,-112.762395,47.60042,122.2,Irrigation,Within-Year,0.992,0.008,0.162
338,Dworshak Dam,Idaho,-116.297014,46.516351,4391.2,Flood control,Within-Year,0.949,0.051,0.466
350,McKay,Oregon,-118.792708,45.605278,83.6,Irrigation,Within-Year,0.96,0.04,1.08
355,Yellowtail,Montana,-107.957143,45.305859,1760.6,Irrigation,Over-Year,0.802,0.198,1.915
361,Thief Valley,Oregon,-117.78289,45.013574,21.5,Irrigation,Within-Year,0.952,0.048,0.515
362,Clark Canyon,Montana,-112.860426,44.997869,217.8,Irrigation,Over-Year,0.85,0.15,0.974
367,Mason,Oregon,-117.999626,44.671057,90.7,Irrigation,Over-Year,0.825,0.175,1.169
370,Cascade,Idaho,-116.053057,44.523064,805.5,Irrigation,Within-Year,0.948,0.052,0.857
372,Unity,Oregon,-118.18281,44.504773,31.1,Irrigation,Within-Year,0.981,0.019,0.533
373,Buffalo Bill,Wyoming,-109.186819,44.500233,746,Hydroelectricity,Within-Year,0.914,0.086,1.113
374,Island Park,Idaho,-111.394991,44.420051,157,Irrigation,Within-Year,0.99,0.01,0.046
375,Mann Creek,Idaho,-116.89813,44.39375,13.7,Irrigation,Within-Year,0.976,0.024,0.546
377,Deadwood,Idaho,-115.645624,44.295039,199.8,Irrigation,Within-Year,0.936,0.064,0.896
378,Grassy Lake,Wyoming,-110.817278,44.129764,18.7,Irrigation,Within-Year,0.961,0.039,0.558
382,Bully Creek,Oregon,-117.398688,44.01512,37,Irrigation,Within-Year,0.938,0.06,0.892
383,Agency Valley,Oregon,-118.155208,43.912118,73.9,Irrigation,Within-Year,0.918,0.082,0.951
384,Jackson Lake,Wyoming,-110.591126,43.857485,1076.8,Irrigation,Within-Year,0.933,0.067,0.899
385,Anchor,Wyoming,-108.827888,43.663883,21.2,Irrigation,Highly Variable,0.708,0.292,21.849
386,Owyhee,Oregon,-117.238522,43.639982,881.9,Irrigation,Over-Year,0.847,0.153,0.806
387,Arrowrock,Idaho,-115.921576,43.593558,353.4,Irrigation,Within-Year,0.932,0.068,0.98
388,Warm Springs,Oregon,-118.2091,43.58693,235.6,Irrigation,Over-Year,0.83,0.17,1.08
389,Deer Flat Upper,Idaho,-116.73125,43.584629,208.5,Irrigation,Within-Year,0.902,0.098,0.981
390,Ririe,Idaho,-111.740813,43.580736,99.3,Flood control,Within-Year,0.895,0.105,1.943
391,Lucky Peak,Idaho,-116.052083,43.526359,378.7,Flood control,Within-Year,0.996,0.004,0.143
392,Little Wood River,Idaho,-114.028321,43.426524,37,Irrigation,Within-Year,0.977,0.023,0.467
393,Boysen,Wyoming,-108.177221,43.414157,678.3,Flood control,Over-Year,0.743,0.257,1.566
394,Anderson Ranch,Idaho,-115.447429,43.36022,521.8,Irrigation,Over-Year,0.856,0.144,0.869
396,Palisades,Idaho,-111.202028,43.330514,1480.2,Irrigation,Within-Year,0.942,0.058,0.899
398,Bull Lake,Wyoming,-109.044413,43.209951,187.2,Irrigation,Within-Year,0.912,0.088,0.785
399,Pilot Butte,Wyoming,-108.760417,43.195527,45.5,Irrigation,Within-Year,0.968,0.032,0.458
411,American Falls,Idaho,-112.873708,42.779062,2061.5,Irrigation,Within-Year,0.983,0.017,0.25
413,Minidoka,Idaho,-113.484084,42.667609,117.4,Irrigation,Within-Year,0.983,0.017,0.093
415,Alcova,Wyoming,-106.727083,42.543117,37.7,Irrigation,Within-Year,0.995,0.005,0.092
416,Pathfinder Dike,Wyoming,-106.853706,42.46391,1253.8,Irrigation,Over-Year,0.789,0.211,1.158
421,Seminoe,Wyoming,-106.906358,42.154838,1254.8,Irrigation,Over-Year,0.767,0.233,1.109
423,Fontenelle,Wyoming,-110.065625,42.028371,185.6,Hydroelectricity,Highly Variable,0.843,0.157,2.137
430,Wild Horse Dam,Nevada,-115.83377,41.684728,117.5,Recreation,Over-Year,0.766,0.234,1.237
438,Pineview,Utah,-111.841795,41.254826,135.7,Flood control,Within-Year,0.886,0.114,1.015
449,Echo,Utah,-111.430527,40.963948,91.2,Irrigation,Within-Year,0.961,0.039,0.895
451,Flaming Gorge,Utah,-109.420471,40.915665,4336.3,Water supply,Over-Year,0.691,0.309,1.403
456,Wanship,Utah,-111.40263,40.787922,75.1,Flood control,Within-Year,0.924,0.076,0.846
473,Steinaker,Utah,-109.53125,40.510417,41.1,Irrigation,Within-Year,0.909,0.091,0.854
477,Deer Creek,Utah,-111.525821,40.407034,184.7,Irrigation,Within-Year,0.947,0.053,0.52
481,Carter Lake Dam 1,Colorado,-105.214853,40.326941,124.6,Irrigation,Over-Year,0.842,0.158,0.381
488,Bor Starvation,Utah,-110.444834,40.191264,233.1,Water supply,Within-Year,0.963,0.037,0.256
491,Willow Creek,Colorado,-105.945086,40.147981,13.8,Irrigation,Within-Year,0.952,0.048,0.249
492,Granby,Colorado,-105.856013,40.139748,574.3,Irrigation,Over-Year,0.852,0.148,0.88
497,Williams Fork,Colorado,-106.205943,40.03395,125.3,Water supply,Within-Year,0.934,0.066,0.471
500,Gross,Colorado,-105.357859,39.949456,58.6,Water supply,Within-Year,0.965,0.035,0.722
502,Green Mountain,Colorado,-106.329309,39.876756,139.1,Irrigation,Within-Year,0.94,0.06,1.451
505,Ralston,Colorado,-105.241537,39.832745,19.6,Water supply,Within-Year,0.982,0.018,0.15
509,Dillon,Colorado,-106.060416,39.61875,376.2,Recreation,Within-Year,0.902,0.098,0.491
511,Chatfield Dam,Colorado,-105.05625,39.55497,437.9,Flood control,Highly Variable,0.849,0.151,3.161
517,Ruedi,Colorado,-106.814496,39.364977,160.4,Irrigation,Within-Year,0.951,0.049,0.599
519,Sugar Loaf,Colorado,-106.371408,39.253663,167.2,Irrigation,Within-Year,0.925,0.075,0.663
522,Cheesman,Colorado,-105.273882,39.210039,107.6,Water supply,Within-Year,0.936,0.064,0.36
529,Antero,Colorado,-105.895655,38.989297,141.8,Water supply,Over-Year,0.816,0.184,0.671
536,Taylor Park,Colorado,-106.604289,38.820602,131,Irrigation,Within-Year,0.891,0.109,0.77
541,Blue Mesa,Colorado,-107.333611,38.45367,923.2,Hydroelectricity,Over-Year,0.819,0.181,1.102
542,Morrow Point,Colorado,-107.53435,38.451537,52,Irrigation,Within-Year,0.936,0.064,0.276
572,Jackson Gulch,Colorado,-108.273317,37.399487,12.3,Irrigation,Within-Year,0.924,0.076,1.097
574,Lemon,Colorado,-107.659343,37.382549,48.1,NA,Within-Year,0.906,0.094,1.006
575,Vallecito,Colorado,-107.572064,37.377799,154.7,NA,Within-Year,0.927,0.073,0.882
597,Glen Canyon,Arizona,-111.485228,36.939635,25070,Hydroelectricity,Over-Year,0.711,0.289,1.043
601,Navajo,New Mexico,-107.609481,36.801492,1278,Irrigation,Over-Year,0.783,0.217,1.002
603,Heron,New Mexico,-106.70481,36.666231,493.4,Water supply,Over-Year,0.812,0.188,0.982
604,El Vado Reservoir Dam,New Mexico,-106.732989,36.594947,270.8,Irrigation,Within-Year,0.881,0.119,0.856
606,Abiquiu Dam,New Mexico,-106.42863,36.237769,1688.6,Flood control,Over-Year,0.711,0.289,1.537
610,Hoover,Nevada,-114.735006,36.018191,36700,Water supply,Over-Year,0.562,0.438,1.016
613,Cochiti,New Mexico,-106.317485,35.61975,890.6,Flood control,Highly Variable,0.723,0.277,9.472
616,Davis Bor,Arizona,-114.572791,35.20227,2242.9,Hydroelectricity,Within-Year,0.969,0.031,0.425
629,Parker,Arizona,-114.138725,34.29867,803,Water supply,Within-Year,0.96,0.04,0.825
657,Elephant Butte Dike,New Mexico,-107.189253,33.156049,2932.4,Flood control,Over-Year,0.684,0.316,0.971
664,Caballo,New Mexico,-107.293998,32.898365,285.6,Irrigation,Over-Year,0.751,0.249,1.579
753,Garrison Dam,North Dakota,-101.432292,47.50613,30220,Flood control,Over-Year,0.759,0.241,1.188
767,Leech Lake Dam,Minnesota,-94.223518,47.251782,838.8,Recreation,Within-Year,0.891,0.109,0.983
768,Pokegama Lake Dam,Minnesota,-93.588285,47.251326,148,Recreation,Within-Year,0.972,0.028,0.104
777,Pipestem Dam,North Dakota,-98.751547,46.96493,224.1,Flood control,Highly Variable,0.768,0.232,57.972
780,Jamestown,North Dakota,-98.709425,46.932526,42.8,Irrigation,Highly Variable,0.683,0.309,11.439
784,Dickinson,North Dakota,-102.828566,46.867223,11,Irrigation,Over-Year,0.859,0.141,0.787
789,Sandy Lake Dam and Lock,Minnesota,-93.321528,46.783615,97.9,Navigation,Highly Variable,0.822,0.178,11.553
792,Pine River Dam,Minnesota,-94.112119,46.670135,231.5,Fisheries,Within-Year,0.958,0.042,0.496
798,Heart Butte Dike,North Dakota,-101.812192,46.596531,530.4,Irrigation,Highly Variable,0.708,0.292,2.732
806,Gull Lake,Minnesota,-94.358021,46.414653,92.9,Flood control,Within-Year,0.931,0.069,0.919
827,Bowman-Haley,North Dakota,-103.248588,45.9813,212,Flood control,Over-Year,0.679,0.321,1.566
837,Shadehill Dike 1,South Dakota,-102.203155,45.751107,578,Irrigation,Highly Variable,0.708,0.292,2.034
858,Marsh Lake Dam,Minnesota,-96.091121,45.174204,112.2,Fisheries,Within-Year,0.933,0.067,12.058
861,Lac Qui Parle Dam,Minnesota,-95.874081,45.02737,151.5,Flood control,Highly Variable,0.843,0.157,7.124
870,Oahe Dam,South Dakota,-100.39797,44.456316,29110,Flood control,Over-Year,0.771,0.229,1.187
872,Keyhole,Wyoming,-104.78125,44.379972,229.2,Irrigation,Over-Year,0.632,0.368,1.033
882,Pactola,South Dakota,-103.490625,44.072917,173.8,Water supply,Over-Year,0.781,0.219,0.784
884,Big Bend Dam,South Dakota,-99.448646,44.039785,2343.6,Flood control,Within-Year,0.94,0.06,0.716
885,Deerfield,South Dakota,-103.786348,44.027173,19.1,Water supply,Within-Year,0.891,0.109,0.361
893,Angostura,South Dakota,-103.435489,43.342073,101.6,Irrigation,Over-Year,0.848,0.152,1.011
895,Gavins Point Dam,South Dakota,-97.483244,42.850337,666.1,Flood control,Within-Year,0.913,0.087,1.452
898,Glendo,Wyoming,-104.953299,42.48023,560.4,Flood control,Within-Year,0.922,0.078,1.683
913,Kingsley,Nebraska,-101.67338,41.214586,2344.4,Hydroelectricity,Over-Year,0.773,0.227,0.93
919,Branched Oak Dam,Nebraska,-96.853979,40.970589,150.8,Flood control,Over-Year,0.828,0.172,1.246
920,Jeffrey Reg Dam,Nebraska,-100.403511,40.958721,26,Hydroelectricity,Within-Year,0.963,0.037,0.221
924,Rathbun Dam,Iowa,-92.881377,40.831517,680.9,Flood control,Highly Variable,0.747,0.253,4.624
929,Johnson Lake Dam,Nebraska,-99.843679,40.677414,72.8,Hydroelectricity,Within-Year,0.976,0.024,0.18
931,Elwood Dam,Nebraska,-99.853071,40.634268,56.7,Irrigation,Within-Year,0.938,0.062,1.567
936,Enders,Nebraska,-101.51979,40.422802,42.6,Irrigation,Highly Variable,0.775,0.225,2.361
938,Medicine Creek,Nebraska,-100.219447,40.378902,239.4,Irrigation,Within-Year,0.899,0.101,0.594
939,Red Willow,Nebraska,-100.666251,40.360837,201.6,Irrigation,Over-Year,0.871,0.129,1.221
948,Harlan County Dam,Nebraska,-99.21467,40.072869,1018.5,Flood control,Over-Year,0.793,0.207,1.276
953,Norton,Kansas,-99.93575,39.805524,238.1,Irrigation,Over-Year,0.702,0.298,1.257
957,Cherry Creek Dam,Colorado,-104.8599,39.646658,165.9,Flood control,Over-Year,0.815,0.18,1.88
958,Bonny,Colorado,-102.174556,39.621971,48.4,Flood control,Over-Year,0.676,0.324,1.13
965,Tuttle Creek Dam,Kansas,-96.59375,39.260417,2784,Flood control,Highly Variable,0.761,0.239,7.281
967,Perry Dam,Kansas,-95.432391,39.111675,949.8,Flood control,Highly Variable,0.758,0.242,4.91
968,Milford Dam,Kansas,-96.899609,39.078243,1412.3,Flood control,Highly Variable,0.792,0.208,5.535
972,Wilson Dam,Kansas,-98.49375,38.963636,907.8,Flood control,Highly Variable,0.685,0.315,2.867
975,Clinton Dam,Kansas,-95.331348,38.91875,454.8,Flood control,Highly Variable,0.765,0.235,3.333
980,Pomona Dam,Kansas,-95.557488,38.653448,314,Flood control,Highly Variable,0.78,0.22,5.984
981,Kanopolis Dam,Kansas,-97.966322,38.609095,534.1,Flood control,Highly Variable,0.756,0.244,6.823
982,Melvern Dam,Kansas,-95.715718,38.51407,447.8,Flood control,Highly Variable,0.791,0.209,5.493
987,Pueblo,Colorado,-104.727382,38.272917,603.3,Irrigation,Over-Year,0.781,0.213,0.946
989,Harry S. Truman Dam,Missouri,-93.40625,38.264873,6416.6,Hydroelectricity,Highly Variable,0.767,0.233,27.849
1000,Pomme de Terre Dam,Missouri,-93.321703,37.897187,801.8,Flood control,Highly Variable,0.794,0.206,7.785
1006,Stockton Dam,Missouri,-93.76875,37.689583,2064.8,Flood control,Highly Variable,0.808,0.187,2.671
1017,Clearwater Dam,Missouri,-90.774448,37.136323,509.4,Flood control,Highly Variable,0.74,0.26,388.07
1019,Wappapello Dam,Missouri,-90.282381,36.931986,1399.5,Flood control,Highly Variable,0.834,0.166,68.335
1026,Table Rock Dam,Missouri,-93.311648,36.597936,4270.3,Flood control,Over-Year,0.791,0.209,1.516
1033,Beaver,Arkansas,-93.849219,36.422916,2407.8,Flood control,Over-Year,0.868,0.129,1.022
1036,Bull Shoals,Arkansas,-92.572917,36.365385,6670.7,Flood control,Highly Variable,0.763,0.237,3.563
1042,Norfork,Arkansas,-92.238377,36.252069,2446,Flood control,Highly Variable,0.759,0.241,2.707
1055,Sanford Dam,Texas,-101.553663,35.713078,3002.6,Recreation,Over-Year,0.571,0.429,1.195
1067,Greers Ferry,Arkansas,-91.992829,35.520559,3508,Flood control,Highly Variable,0.836,0.164,2.388
1084,Blue Mountain,Arkansas,-93.651042,35.102957,318.2,Flood control,Highly Variable,0.758,0.242,14.995
1086,Santa Rosa Dam,New Mexico,-104.688235,35.02896,884.4,Flood control,Over-Year,0.731,0.269,1.077
1092,Nimrod,Arkansas,-93.16166,34.95283,414.4,Flood control,Highly Variable,0.778,0.222,18.134
1101,Arkabutla Dam,Mississippi,-90.122793,34.756146,1706.9,Flood control,Highly Variable,0.816,0.184,22.885
1109,Sumner,New Mexico,-104.387881,34.608174,75.6,Irrigation,Over-Year,0.701,0.299,1.821
1112,Blakely Mountain Dam,Arkansas,-93.195081,34.574105,4638.8,Hydroelectricity,Highly Variable,0.831,0.169,2.258
1121,Degray Dam,Arkansas,-93.110417,34.216058,1698.6,Flood control,Highly Variable,0.861,0.139,2.014
1122,Gillham,Arkansas,-94.228715,34.211828,273.6,Flood control,Highly Variable,0.793,0.207,8.997
1125,Narrows Dam,Arkansas,-93.716351,34.149561,740.8,Flood control,Highly Variable,0.861,0.139,2.014
1139,Lake Arrowhead Dam,Texas,-98.360383,33.762939,844.9,Flood control,Over-Year,0.668,0.332,1.009
1164,Lewisville Dam,Texas,-96.969792,33.069896,2569.1,Recreation,Over-Year,0.675,0.325,1.985
1170,Lavon Dam,Texas,-96.469792,33.033002,1136.3,Recreation,Over-Year,0.791,0.209,1.892
1171,Grapevine Dam,Texas,-97.057957,32.972572,936,Recreation,Highly Variable,0.663,0.337,4.341
1176,Morris Sheppard,Texas,-98.428696,32.869311,686.1,Water supply,Over-Year,0.828,0.172,0.938
1181,Iron Bridge Dam,Texas,-95.91465,32.814655,2047.6,Recreation,Over-Year,0.819,0.181,0.896
1186,Ferrells Bridge Dam,Texas,-94.506269,32.752105,2465.4,Water supply,Highly Variable,0.744,0.256,3.957
1188,Mountain Creek Dam,Texas,-96.94375,32.730483,87.4,Flood control,Within-Year,0.93,0.07,0.512
1192,Caddo Dam,Louisiana,-93.916361,32.707095,931.3,Navigation,Highly Variable,0.798,0.202,6.035
1194,Benbrook Lake,Texas,-97.455208,32.651213,505.7,Water supply,Highly Variable,0.746,0.254,2.683
1220,Bardwell Lake,Texas,-96.647908,32.252524,391.6,Water supply,Highly Variable,0.694,0.306,4.605
1236,Proctor Lake,Texas,-98.478125,31.973949,534.1,Water supply,Highly Variable,0.664,0.336,6.185
1237,Navarro Mills Dam,Texas,-96.698596,31.953148,414.2,Flood control,Highly Variable,0.711,0.289,4.646
1243,Robert Lee Dam,Texas,-100.519321,31.90205,999.1,Recreation,Over-Year,0.576,0.424,1.236
1247,Whitney Lake,Texas,-97.370431,31.869948,2590.8,Water supply,Highly Variable,0.706,0.294,4.202
1249,Hords Creek Dam,Texas,-99.561775,31.834514,60.8,Recreation,Over-Year,0.549,0.451,1.775
1254,Waco Lake,Texas,-97.198025,31.57696,1021.7,Water supply,Highly Variable,0.749,0.251,3.71
1258,O.C. Fisher Dam,Texas,-100.482578,31.485411,858.9,Recreation,Over-Year,0.51,0.49,1.276
1263,Twin Buttes,Texas,-100.523438,31.367842,1341.4,Irrigation,Over-Year,0.628,0.372,1.26
1273,Belton Dam,Texas,-97.473818,31.110239,2314.9,Recreation,Highly Variable,0.706,0.294,3.833
1275,Sam Rayburn Dam And Reservoir,Texas,-94.106215,31.064744,7815.6,Water supply,Over-Year,0.726,0.267,1.499
1277,Stillhouse-Hollow Dam,Texas,-97.532714,31.023437,1250.5,Water supply,Highly Variable,0.673,0.327,3.638
1279,Town Bluff Dam,Texas,-94.17438,30.799546,377.9,Other,Within-Year,0.942,0.058,0.658
1280,Buchanan Dam,Texas,-98.415803,30.757588,1211.3,Irrigation,Over-Year,0.743,0.25,0.812
1283,Roy Inks Dam,Texas,-98.380208,30.73233,78.3,Hydroelectricity,Over-Year,0.796,0.204,0.673
1287,Livingston Dam,Texas,-95.015625,30.632678,2522.5,Flood control,Within-Year,0.896,0.104,0.478
1291,Alvin Wirtz Dam,Texas,-98.340775,30.56016,280,Hydroelectricity,Within-Year,0.94,0.06,0.183
1292,Max Starcke Dam,Texas,-98.257643,30.557553,10.8,Hydroelectricity,Within-Year,0.91,0.09,0.146
1294,Mansfield Dam,Texas,-97.905713,30.393211,3975.5,Irrigation,Over-Year,0.675,0.325,1.376
1296,Somerville Dam,Texas,-96.523958,30.314583,1269,Irrigation,Highly Variable,0.738,0.256,4.631
1297,Tom Miller Dam,Texas,-97.786268,30.295339,90.2,Hydroelectricity,Within-Year,0.956,0.044,0.049
1302,Canyon Lake,Texas,-98.19971,29.871728,1393,Water supply,Highly Variable,0.657,0.343,3.557
1317,Wesley E. Seale Dam,Texas,-97.869086,28.047561,655,Recreation,Over-Year,0.722,0.278,0.851
1586,J. Edward Roush Lake Dam,Indiana,-85.467105,40.846824,188.8,Flood control,Highly Variable,0.759,0.241,62.971
1587,Salamonie Lake Dam,Indiana,-85.675829,40.806373,325.1,Flood control,Highly Variable,0.78,0.22,51.797
1592,Mississinewa Lake Dam,Indiana,-85.955208,40.714103,454.4,Flood control,Highly Variable,0.79,0.21,10.04
1634,Clarence J. Brown Dam,Ohio,-83.746098,39.951705,78.6,Flood control,Highly Variable,0.834,0.166,13.796
1645,Cecil M. Harden Lake Dam,Indiana,-87.067708,39.720158,163.8,Flood control,Highly Variable,0.817,0.183,14.274
1654,Cagles Mill Lake Dam,Indiana,-86.914583,39.486722,281.4,Flood control,Highly Variable,0.786,0.214,14.597
1655,Caesar Creek Lake Dam,Ohio,-84.059259,39.485819,298.7,Flood control,Highly Variable,0.84,0.16,2.169
1659,Lake Shelbyville Dam,Illinois,-88.777006,39.410509,1266.2,Flood control,Highly Variable,0.766,0.234,16.602
1683,William H. Harsha Lake Dam,Ohio,-84.146664,39.021119,363.6,Flood control,Highly Variable,0.85,0.146,5.23
1684,Monroe Lake Dam,Indiana,-86.50046,39.007857,544,Flood control,Highly Variable,0.827,0.173,4.394
1703,Patoka Lake Dam,Indiana,-86.706038,38.433971,372.1,Flood control,Highly Variable,0.823,0.177,3.601
1714,Cave Run Lake Dam,Kentucky,-83.530932,38.114969,757.5,Flood control,Highly Variable,0.749,0.245,22.325
1732,Rough River Lake Dam,Kentucky,-86.500231,37.61843,412.5,Flood control,Highly Variable,0.832,0.168,8.323
1739,Buckhorn Lake Dam,Kentucky,-83.469937,37.338027,207.1,Flood control,Highly Variable,0.775,0.225,25.746
1740,Nolin Lake Dam,Kentucky,-86.246529,37.278458,751.7,Flood control,Highly Variable,0.834,0.166,13.796
1741,Green River Lake Dam,Kentucky,-85.339277,37.247917,892.1,Flood control,Highly Variable,0.795,0.205,5.982
1744,Carr Creek Lake Dam,Kentucky,-83.031211,37.22716,58.8,Flood control,Within-Year,0.888,0.112,9.212
1752,Barkley Dam,Kentucky,-88.218748,37.018747,2568.1,Hydroelectricity,Highly Variable,0.857,0.143,14.063
1753,Kentucky,Kentucky,-88.268652,37.010296,7560,Navigation,Highly Variable,0.835,0.165,3.98
1754,Laurel Dam,Kentucky,-84.267474000000007,36.959995,537.3,Flood control,Within-Year,0.907,0.093,0.305
1755,Barren River Lake Dam,Kentucky,-86.122475,36.893486,1005.5,Flood control,Highly Variable,0.794,0.206,11.174
1756,Wolf Creek,Kentucky,-85.14375,36.867817,7510.7,Hydroelectricity,Highly Variable,0.856,0.144,2.299
1761,John H. Kerr Dam,Virginia,-78.294784,36.59626,4148.8,Hydroelectricity,Highly Variable,0.79,0.21,4.271
1762,Dale Hollow Dam,Tennessee,-85.450254,36.538312,2104.3,Hydroelectricity,Over-Year,0.877,0.123,1.411
1776,W. Kerr Scott Dam,North Carolina,-81.228204,36.132374,377.4,Water supply,Highly Variable,0.819,0.181,3.015
1796,B. Everett Jordan Dam,North Carolina,-79.06867,35.656806,2031,Water supply,Highly Variable,0.841,0.159,3.398
1848,Sardis Dam,Mississippi,-89.792634,34.407344,3720.2,Flood control,Highly Variable,0.838,0.162,3.954
1851,Hartwell Dam,Georgia,-82.822993,34.360491,4241.6,Hydroelectricity,Over-Year,0.826,0.174,0.759
1863,Buford,Georgia,-84.072357,34.16084,3150.3,Flood control,Over-Year,0.81,0.19,0.854
1864,Enid Dam,Mississippi,-89.90447,34.151653,1496.8,Flood control,Highly Variable,0.828,0.172,6.626
1869,Grenada Dam,Mississippi,-89.76874,33.814591,3357.7,Flood control,Highly Variable,0.819,0.181,5.933
1872,J. Strom Thurmond Dam,Georgia,-82.196875,33.662099,4711.9,Hydroelectricity,Over-Year,0.798,0.191,1.017
1883,Wallace,Georgia,-83.157149,33.352754,727.8,Hydroelectricity,Highly Variable,0.805,0.195,29.386
1916,Jim Woodruff Dam,Florida,-84.866115,30.708037,501,Navigation,Within-Year,0.964,0.036,0.337
7313,Canyon Ferry Dam,Montana,-111.727374,46.648333,2529.9,Hydroelectricity,Over-Year,0.872,0.128,1.577
7318,Cordell Hull Dam,Tennessee,-85.944131,36.29222,383.5,Hydroelectricity,Within-Year,0.956,0.044,4.168
479,Utah Lake Outlet,Utah,-111.892115,40.358628,1689.7,Water supply,Over-Year,0.803,0.197,0.974
1161,Graham Dam,Texas,-98.618771,33.135439,129.5,Other,Over-Year,0.735,0.265,0.955
1163,Monticello Dam,Texas,-95.003213,33.072835,58.7,Flood control,Over-Year,0.85,0.15,0.593
1179,Hubbard Creek Dam,Texas,-98.962026,32.825436,888.1,Flood control,Over-Year,0.602,0.398,1.175
1190,Lake Arlington Dam,Texas,-97.194987,32.717495,127.7,Other,Over-Year,0.848,0.152,1.334
1208,De Cordova Bend Dam,Texas,-97.690826,32.375842,296.8,Irrigation,Over-Year,0.792,0.208,0.695
1214,Lake Colorado City Dam,Texas,-100.919792,32.320017,87.2,Recreation,Over-Year,0.508,0.492,1.408
1219,Martin Lake Dam,Texas,-94.54375,32.26875,224.9,Recreation,Over-Year,0.857,0.143,0.999
1269,Toledo Bend,Louisiana,-93.566547,31.174682,6287.7,Hydroelectricity,Within-Year,0.884,0.113,0.561
1295,Conroe Dam,Texas,-95.564583,30.360417,872,Irrigation,Over-Year,0.814,0.186,1.008
